id,q1_hh_members,q2_age_u5,q3_age_5_17,q4_age_18_34,q5_age_35_59,q6_age_60plus,q7_male,q8_female,q9_head_sex,q10_head_age,q11_head_education,q12_occupation,q12_other,q13_income,q14_residence,q15_housing,q15_other,q16_tenure,q17_rooms,q18_floors,q19_economic,q20_living,q21_region,q22_district,q23_village,demographics_complete,starttime_complete,q96digital_corruption,q87_confidence,q95_cyber_awareness
1083,11,0,11,7,2,0,6,5,1,26,7,1, ,250,1,1, ,1,6,1,3,4,1,7,Hargeisa,2,2, , , 
1084,11,0,11,7,2,0,6,5,1,26,7,1, ,250,1,1, ,1,6,1,3,4,1,7,Hargeisa,2,2, , , 
1086,11,0,11,7,2,0,6,5,1,26,7,1, ,250,1,1, ,1,6,1,3,4,1,7,Hargeisa,2,2, , , 
1099,10,2,0,1,0,0,6,4,1,55,8,1, ,500,1,1, ,1,4,1,4,3,1,1,october,2,2, ,4,3
1102,4,0,0,1,1,0,2,2,1,59,8,1, ,200,1,1, ,1,2,1,2,3,1,1,siiney,2,2, ,3,2
1105,7,2,1,1,1,0,3,4,1,40,7,1, ,800,1,2, ,1,5,1,4,4,1,6,cabaaye,2,2, , , 
1131,12,2,1,4,2,0,6,6,1,48,7,1, ,300,1,1, ,1,7,1,5,5,1,4,Dhagax Barkato,2,2, ,4,1
1146,11,0,11,7,2,0,6,5,1,26,7,1, ,250,1,1, ,1,6,1,3,4,1,7,Hargeisa,2,2, , , 
1147,11,0,11,7,2,0,6,5,1,26,7,1, ,250,1,1, ,1,6,1,3,4,1,7,Hargeisa,2,2, , , 
1149,11,0,11,7,2,0,6,5,1,26,7,1, ,250,1,1, ,1,6,1,3,4,1,7,Hargeisa,2,2, , , 
1150,9,1,0,0,7,1,5,4,2,62,1,2, ,300,1,1, ,1,4,1,3,3,1,4,mohamed mooge,2,2, ,4,2
1153,11,0,11,7,2,0,6,5,1,26,7,1, ,250,1,1, ,1,6,1,3,4,1,7,Hargeisa,2,2, , , 
1154,11,0,11,7,2,0,6,5,1,26,7,1, ,250,1,1, ,1,6,1,3,4,1,7,Hargeisa,2,2, , , 
1173,9,3,0,1,5,0,6,3,1,35,4,1, ,300,1,1, ,1,4,1,3,2,1,7,boqol jire,2,2, ,3,6
1182,11,0,11,7,2,0,6,5,1,26,6,1, ,250,1,1, ,1,6,1,3,4,1,7,Hargeisa,2,2, , , 
1193,8,2,2,2,2,0,4,4,1,50,6,1, ,500,1,1, ,1,4,0,3,3,1,6,Sheekh mubaarik,2,2, ,3,2
1201,8,2,1,3,2,0,3,5,1,42,5,7,Constructor,220,1,3, ,3,5,1,3,4,1,2,No village,2,2, ,3,3
1219,9,0,0,0,0,1,4,5,1,68,6,1, ,1000,1,1, ,1,7,1,4,4,1,7,jigjiga yar,2,2, , , 
1231,7,1,2,3,2,0,2,5,2,42,1,1, ,254,1,1, ,2,5,1,4,3,1,6,gacan libaax,2,2, ,2,3
1235,6,1,1,4,2,0,3,3,1,45,6,2, ,600,1,1, ,1,4,1,3,3,1,3,Faluuja,2,2, ,3,3
1247,2,5,5,5,5,0,5,5,1,20,8,2, ,1000,1,1, ,1,2,5,2,3,3,3,new Hargeisa,2,2, , , 
1257,10,0,0,1,0,0,5,5,1,58,1,4, ,300,1,1, ,1,5,1,4,3,1,1, ,2,2, ,3,1
1258,10,2,8,6,2,0,6,4,1,50,4,2, ,400,1,1, ,3,4,1,5,3,1,2,26june,2,2, , , 
1314,9,0,0,0,0,1,4,5,1,68,6,1, ,1000,1,1, ,1,7,1,4,4,1,7,jigjiga yar,2,2, , , 
1318,9,0,0,0,0,1,4,5,1,68,6,1, ,1000,1,1, ,1,7,1,4,4,1,7, ,2,2, , , 
1320,9,0,0,0,0,1,4,5,1,68,6,1, ,1000,1,1, ,1,7,1,4,4,1,7,jigjiga yar,2,2, , , 
1322,9,0,0,0,0,1,4,5,1,68,6,1, ,1000,1,1, ,1,7,1,4,4,1,7,jigjiga yar,2,2, , , 
1323,9,0,0,0,0,1,4,5,1,68,6,1, ,1000,1,1, ,1,7,1,4,4,1,7,jigjiga yar,2,2, , , 
1325,9,0,0,0,0,1,4,5,1,68,6,1, ,1000,1,1, ,1,7,1,4,4,1,7,jigjiga yar,2,2, , , 
1327,9,0,0,0,0,1,4,5,1,68,6,1, ,1000,1,1, ,1,7,1,4,4,1,7,jigjiga yar,2,2, , , 
1329,9,0,0,0,0,1,4,5,1,68,6,1, ,1000,1,1, ,1,7,1,4,4,1,7,jigjiga yar,2,2, , , 
1331,11,2,1,3,2,0,6,5,1,45,6,2, ,5000,1,1, ,1,7,1,3,4,1,2,150,2,2, ,3,3
1332,9,0,0,0,0,1,4,5,1,68,6,1, ,1000,1,1, ,1,7,1,4,4,1,7,jigjiga yar,2,2, , , 
1333,9,0,0,0,0,1,4,5,1,68,6,1, ,1000,1,1, ,1,7,1,4,4,1,7,jigjiga yar,2,2, , , 
1334,12,6,2,5,0,0,6,6,1,53,6,4, ,500,1,2, ,1,6,7,4,3,1,5, ,2,2, ,5,1
1335,5,0,1,2,2,0,2,3,2,38,4,6, ,400,1,1, ,3,4,1,3,5,2,1,Pepsiga,2,2, ,3,1
1377,3,0,0,1,1,1,2,1,1,52,1,2, ,350,2,1, ,1,5,1,4,3,1,2,Cawodhalad,2,2, , , 
1386,8,0,0,0,0,0,3,5,1,50,4,7,Clan Leader,800,1,2, ,1,5,1,3,2,1,6,Magaalo Ugaaso,2,2, , , 
1404,6,1,0,0,2,0,1,2,1,29,6,1, ,500,1,2, ,1,4,1,3,3,1,7,goljanni,2,2, , , 
1409,8,0,0,0,1,0,4,4,1,40,1,6, ,200,1,1, ,1,4,4,4,4,1,2, ,2,2, , , 
1411,7,0,0,1,0,0,4,3,1,54,3,2, ,400,3,2, ,1,4,1,3,3,1,7, ,2,2, , , 
1420,12,1,4,4,2,1,5,7,1,53,5,2, ,900,1,1, ,1,7,1,4,4,1,7,xero awr,2,2, , , 
1421,5,3,0,0,2,0,3,2,1,36,4,2, ,650,1,2, ,1,5,1,3,4,1,7,goljanno,2,2, , , 
1422,4,2,0,2,0,0,3,1,1,27,5,4, ,300,1,2, ,1,2,1,2,3,1,7,goljanno,2,2, , , 
1423,7,1,2,2,2,0,3,4,1,43,4,4, ,400,1,2, ,1,5,1,4,4,1,8,xero awr,2,2, , , 
1425,5,0,0,0,4,1,3,2,2,62,7,1, ,250,1,1, ,2,4,1,4,4,1,6,Sh.Madar,2,2, , , 
1426,2,0,0,2,0,0,1,1,1,26,6,1, ,350,1,2, ,1,4,1,4,3,1,7,150,2,2, , , 
1427,8,1,3,2,1,0,3,5,1,36,6,1, ,700,1,2, ,2,6,1,3,4,1,7,jigjiga yare,2,2, , , 
1429,7,0,0,1,0,0,4,3,2,50,3,6, ,400,3,2, ,1,4,1,3,4,1,7, ,2,2, ,5,1
1434,10,1,1,5,0,1,10,3,1,60,7,2, ,2500,1,1, ,1,10,2,5,5,1,7,jig jiga yar,2,2, ,5,5
